Startup,URL,Description,Country,Innovation Area,Focus Area,Founded,Maturity,Total Funding,Funding Stage
Codat,codat.io,Codat builds developer-friendly infrastructure that gives businesses the ability to create their own products.,United Kingdom,Data Aggregators,9. Open Banking,2017,Nascent,"19,610,000",Series A
Ezbob,ezbob.com,"Ezbob is an online financing company dedicated to supporting SME growth. The e-lender's fully automated smart lending platform links directly to a business' key data sources, such as cloud-based accounting services, tax reports and bank statements, to make up-to-date and rapid lending decisions based on the business' performance.",United Kingdom,Product As A Service,1. Lending,2011,Emerging,"169,600,000",Series C
Previse,previ.se,Previse uses machine learning to deliver instant payments to small businesses supplying large corporations.,United Kingdom,Product As A Service,15. Payments Processing,2016,Nascent,"25,000,000",Seed
SWAP,swap.financial,"SWAP provides a mobile platform for making payments, spending money, and receiving money.",Brazil,Product As A Service,3. Cards,2018,Nascent,"3,300,000",Seed
QRails,https://qrails.com/,QRails is a payments processor for card issuers.,United States,Product As A Service,15. Payments Processing,2016,Emerging,"24,290,000",Series A
Band Protocol,https://bandprotocol.com/,Band Protocol is a blockchain-based information curation platform. Band Protocol offers users an opportunity to create a token-curated community that's specific on a topic or category. Users issue personalized tokens as an incentive to encourage data and information curation within that community.,Thailand,Transaction Infrastructure,11. Crypto As A Service,2017,Nascent,"3,000,000",Seed
CreditVidya,creditvidya.com,"CreditVidya is a platform that provides AI-powered credit underwriting APIs to NBFCs, other financial institutions and companies. CreditVidya helps lenders make critical decisions based on credit scores assigned to new-to-credit and thin file customers through non-traditional data sources.",India,Product As A Service,1. Lending,2012,Nascent,"10,150,000",Series B
Minka,minka.io,"Minka is an open banking cloud that allows users to connect to banks and other financial service providers, as well as build financial products in a short time.",Colombia,General BaaS Platforms,8. Developer Platforms,2016,Nascent,"3,000,000",Seed
Signzy,signzy.com,"Signzy offers an API solution that enables Bank Grade digital on-boarding in real-time, using artificial intelligence and advanced cryptography.",India,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2015,Emerging,"12,350,000",Series B
Banked,banked.com,"Banked is a British fintech focused on working with financial data to act as a channel between banks, businesses and individuals to use data securely, enriching user experience whilst maintaining privacy and control for the customer.",United Kingdom,Product As A Service,2. Payments Initiation,2018,Nascent,"4,810,000",Seed
Coconut Banking,getcoconut.com,"Coconut Banking is a mobile bank app for freelancers and self-employed people. It works out taxes, tracks expenses, and helps businesses get paid on time. It features a running tax bill with real-time previews of the user's tax assessment to avoid surprises at the end of the year.",United Kingdom,Data Aggregators,10. Other Financial Data,2016,Nascent,"3,240,000",Seed
Rebank Technologies,rebanknow.com,"Rebank is an automation tool for business banking that works with any bank and/or multiple banks at once. Rebank learns about banking workflow, providing real-time alerts and task prediction.",United Kingdom,Data Aggregators,9. Open Banking,2018,Nascent,"2,950,000",Seed
Cybertonica,cybertonica.com,"Cybertonica provides a cloud risk intelligence hub for merchants, PSPs and financial institutions. It aims to decrease the number of fraud transactions and charge-backs, and increase site conversion with unique machine learning models, online behaviour analysis and biometric fingerprint profiling of Internet users.",United Kingdom,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2015,Nascent,"2,750,000",Series A
Conta Simples,contasimples.com,"Conta Simples is a digital bank account for SMEs in Brazil. It helps SMEs manage their payments, offering a complete solution with multiple corporate cards and financial tools.",Brazil,Product As A Service,3. Cards,2018,Nascent,"2,630,000",Seed
LendingPoint,loanhero.com,"LoanHero has developed a lending platform providing a financing option for the consumer, merchant and lender at the point of sale. Through the integration of strategic lending partners in combination with a unique balance sheet/peer-to-peer structure, LoanHero is able to offer the most competitive loan product available for all levels of credit through one streamlined platform. LoanHero empowers merchants and lenders alike to become a Hero to the consumers they serve.",United States,Product As A Service,1. Lending,2014,Emerging,"25,180,000",Seed
Perch,getperch.app,Perch helps users build their credit score by turning recurring payments (like rent) into credit payments.,United States,Data Aggregators,9. Open Banking,2019,Nascent,"2,630,000",Seed
Xfers,xfers.com,"Xfers provides businesses in South East Asia with the ability to collect both credit card and internet banking payments, and lets customers make purchases online using only their phone number.",Singapore,Product As A Service,3. Cards,2014,Nascent,"2,620,000",Seed
Productfy,productfy.io,Productfy offers a technology platform that enables fintech companies to build common features via a single API.,United States,General BaaS Platforms,8. Developer Platforms,2018,Nascent,"2,350,000",Seed
Mitto,getmitto.com,Mitto offers a digital wallet for spending online or offline. Parents can send instant money to their children by topping up the wallet and get an overview of their purchasing profile.,Spain,Product As A Service,2. Payments Initiation,2019,Nascent,"2,200,000",Seed
ClickSWITCH,clickswitch.com,"ClickSWITCH is an automated account holder acquisition technology for financial institutions and neobanks that simplifies the process of bringing new depositors onboard by quickly, safely and efficiently switching their direct deposits and recurring payments from their old accounts to new ones.",United States,Product As A Service,15. Payments Processing,2014,Nascent,"18,500,000",Series B
